"Vertical_Segment","Lithography","Recommended_Customer_Price","nb_of_Cores","nb_of_Threads","Processor_Base_Frequency","Cache_size","Cache_type","Max_Memory_Size","Max_Memory_Bandwidth","Execute_Disable_Bit"
"Mobile",14,393,2,4,1300,4,"SmartCache",16,29.8,"Yes"
"Mobile",14,297,4,8,1600,6,"SmartCache",32,34.1,"Yes"
"Mobile",14,409,4,8,1800,8,"SmartCache",32,34.1,"Yes"
"Desktop",32,305,4,8,3600,10,"SmartCache",64.23,51.2,"Yes"
"Mobile",14,281,2,4,1200,4,"SmartCache",16,29.8,"Yes"
"Mobile",14,107,2,2,1500,2,NA,16,25.6,"Yes"
"Desktop",22,42,2,2,2600,2,"SmartCache",32,21,"Yes"
"Mobile",22,134,2,2,2400,2,"SmartCache",32,25.6,"Yes"
"Mobile",14,161,2,4,1900,2,NA,16,25.6,"Yes"
"Mobile",14,161,2,4,2100,2,"SmartCache",32,34.1,"Yes"
"Mobile",14,161,4,4,1600,2,"L2",8,25.6,"Yes"
"Embedded",NA,7.75,1,1,32,0.0078125,NA,32,25.6,NA
"Desktop",22,94,4,4,2410,2,"L2",8,25.6,"Yes"
"Desktop",22,94,4,4,2410,2,"L2",8,21.3,"Yes"
"Desktop",14,161,4,4,1500,2,NA,8,25.6,"Yes"
"Mobile",14,161,4,4,1600,2,"L2",8,25.6,"Yes"
"Mobile",22,161,4,4,2170,2,NA,8,25.6,"Yes"
"Mobile",22,161,4,4,2160,2,NA,8,25.6,"Yes"
"Mobile",22,161,4,4,2160,2,"L2",8,21.32,"Yes"
"Mobile",14,161,4,4,1100,2,"L2",8,25.6,"Yes"
"Mobile",14,161,2,4,1500,2,"SmartCache",16,29.8,"Yes"
"Mobile",14,161,2,4,1600,2,"SmartCache",16,29.8,"Yes"
"Mobile",14,161,2,4,1500,2,"SmartCache",16,29.8,"Yes"
"Mobile",14,161,2,4,2300,2,"SmartCache",32,34.1,"Yes"
"Mobile",14,161,2,2,1900,2,NA,16,25.6,"Yes"
"Mobile",22,161,2,2,1200,2,"SmartCache",16,25.6,"Yes"
"Mobile",22,134,2,2,2400,2,NA,32,25.6,"Yes"
"Mobile",22,161,2,2,1700,2,"SmartCache",16,25.6,"Yes"
"Mobile",22,134,2,2,2300,2,"SmartCache",32,25.6,"Yes"
"Mobile",22,134,2,2,1800,2,"SmartCache",32,25.6,"Yes"
"Mobile",22,134,2,2,2500,2,"SmartCache",32,25.6,"Yes"
"Mobile",22,134,2,2,1900,2,"SmartCache",32,25.6,"Yes"
"Mobile",22,86,4,4,2410,2,"L2",8,21.3,"Yes"
